start|end|text
348.14|376.45|problem they had keeping the horses on that narrow sway trail, horses that were brought up in a country where there was very little snow. And they would be fighting each other on that narrow track, each one wanted to be sure he didn't slide off the side. To this day I'll never know how we put up in a little
377.34|390.24|house with two bedrooms, a living room and dining room combined, and a kitchen.
391.24|399.61|It would have been something else if you could have a motion picture of how this is all arranged.
399.89|404.07|There were the twelve of us and mother and dad.
408.46|430.69|My next recollection was the snow was all gone, and my dad was building a house a mile from this farm.
430.73|437.42|There was already what you'd call a bachelor's home, 14 by 20,
437.84|438.78|on the place.
440.8|460.18|And he was completing it, putting on a four-bedroom extension, which had a full basement under it, and a large dining room and living room.
460.2|467.79|From there on, I don't remember too much until I started school.
471.81|477.03|We had three miles to go to school.
478.71|484.98|And of course there was always a buggy load or a sleigh load, whichever.
487.97|494.34|And I was one of the younger ones, so I didn't have to worry about transportation.
496.78|512.12|Until I became about eight or nine years old, and then as the farm was expanding, they needed the horses to work on the land, so we would walk to school.
512.14|518.23|At that time, well, we'd cut across the field, and we could make a walk in two miles.
518.77|520.48|No road, just through the fields.
526.28|537.41|I think it was about six or seven years later, they moved the school a half mile, which put it on the main road.
540.94|553.87|And it was there that I finished my education, which took me through grade six and into
554.42|561.13|about six weeks in grade seven when the teacher and I had a fallout.
562.13|571.96|And between my mother and I, we decided that it was just as well if I stayed home and helped with the chores.
572.04|580.23|And as a sideline, I started a trap line, which
585.31|599.64|consisted of trappings, coyotes, skunks, and weasels.
599.66|605.27|And - further in the history of my life - I think where I wound up, I was -
605.29|613.7|I had just left school and decided to stay home and start a trap line.
613.78|614.52|From there on,
615.5|618.02|life was quite ordinary.
618.04|618.62|Stayed home.
620.2|624.02|Did chores, finished the chores about 10 o'clock in the morning.
624.04|626.19|Jump on a horse, ride my tramp line.
629.21|633.87|Come back home early afternoon in time to start chores again.
633.89|635.94|And every day was pretty repetitious.
635.96|644.52|Once in a while in the evening if the weather was good, you'd jump on a horse and ride it six and a half miles and do some skating.
645.94|648.48|Maybe get home by 10:30 or 11 o'clock.
650.14|651.76|Away you go the next day.
651.78|658.61|Finally, besides trapping, I found out there was quite a few furs in the country.
659.11|664.06|And I found a place in St. Louis that was paying exceptionally good prices.
664.24|674.29|So I started nosing around to find out what the other fellows were getting for their coyotes and skunks and weasels.
675.25|679.15|And I found that I was getting pretty near twice as much by shipping to St. Louis.
680.36|685.28|So I picked up a partner, a neighbor boy, and we started scouting around.
685.3|693.01|And we went into a fellow that had wolfhounds, and he had, I think it was 11 coyote pelts.
693.93|696.23|But they were in one heck of a shape.
696.25|702.54|They're all bloody and tore up from the wolfhounds killing them.
704.41|709.04|And when we went there, the fellow said he wanted $10 apiece.
710.48|712.68|That would have been about $100 worth.
712.76|716.97|And when the dust settled, we flashed a little money around there, and he was pretty hard up.
716.99|722.93|When the dust settled, we come away with, I think it was eight hides for $36.
725.04|727.92|We shipped them away, and the first hide we shipped away.
727.94|729.78|It was a good pelt.
729.86|732.63|We cleaned it up, couldn't send it away, and we got $30 for it.
732.96|736.43|So we had the rest pretty much for profit.
738.11|741.47|Well, then I sort of went on my own after that.
741.49|746.02|I picked up wherever I could, weasels and skunks.
746.04|752.87|In one case, I bought 40-some skunk hides at one place.
752.97|754.25|Didn't make big money.
754.27|758.09|Maybe made $2 a piece on them or something like that.
760.42|761.92|And that was the end of that.
761.96|777.32|That only lasted one year and then people found out where I was shipping my furs and they went ahead and shipped them on their own.
777.34|789.55|That would take us through the years of about 1916, '17, I'd say, somewhere in there.
791.05|793.11|Yeah, '16 and '17.
793.13|800.38|I think it was the winter of '16 when J.P. was married.
800.4|805.87|I remember Joe and Zip and I were out getting a load of feed.
807.61|814.14|When they were driving by in the bobsleigh from the Orstead place, they were going down to catch the train into Weyburn.
814.16|816.22|They were going into Weyburn to get married.
816.22|816.99|That was winter of quite a big snow, and
819.04|820.98|coming spring we had big floods.
821.87|826.15|It was just unbelievable the amount of runoff that was around the place.
826.17|827.87|That I remember very distinctly.
827.89|836.34|We had one granary that was in a kind of a little spot in the water, about three, four feet on it, and all of the grain got soaked.
836.36|845.47|We had to - When the snow ran away and it dried up and we couldn't get at it, we had to scatter it in several different
846.41|856.21|bins and floors where we could keep turning it over every day and try to preserve it for feed.
856.25|866.94|Around about that time went fast, 1917, 1917, that was the year, no 1918 was when the flu hit.
866.96|869.21|No, fall of' 17 is when it hit bad.
869.61|872.35|People were dropping dead left and right all over the place.
872.37|876.01|It didn't hit our place until the spring of '18.
877.21|887.9|And I remember very well when it hit our place one Sunday afternoon, Leona and Mac and I all took sick about the same time.
889.0|893.59|And when it was time to go for the cows, I asked Mac if I wasn't feeling good,
893.67|894.67|I asked him if he was would go,
894.69|895.15|and he started crying,
895.17|896.09|he said he was sick.
897.1|901.04|So I got on the old black riding mare and went.
901.06|903.06|I had to go a mile over to where the cattle were.
903.08|904.24|They were just running at large.
904.92|906.33|And picked them up.
906.35|907.05|And,
909.12|911.66|on the way home, I was delirious.
911.75|914.37|I can remember hanging on to the mane.
914.39|919.68|The old lady, the mare, she knew enough to bring the cattle in, and I hung on to the mane so that I wouldn't fall off.
921.0|922.66|And we were milking the cows that night -
922.68|925.42|None of us knew what was wrong with us.
925.45|931.41|Then Milt and I were milking the cows, and I can remember falling off the stool, you know.
932.22|935.82|You were half delirious and didn't know, just like a drunken man.
936.8|943.7|However, the result was that we were all down with the flu then, the next day.
943.72|947.91|Everybody excepting Dad, he was the only one that it didn't hit.
947.93|955.12|All the rest of use - now you would say, "confined to our beds" for three, four days and really sick with high temperature.
955.14|965.57|Fortunately, there wasn't anybody in our neighborhood that died from it, but there were an awful lot of people around the country - It hit pregnant women particularly hard.
966.38|974.83|They were, you know, had about a 50-50 chance of living if they were going to have a baby.
974.85|979.94|And that's all it takes through '17, 1918, still home on the farm.
979.96|983.88|Well, that spring, Dad bought a brand new tractor, a brand new Titan tractor.
983.9|987.67|That was the big thing in that part of the country.
988.61|991.47|At that time, tractors were just something brand new.
993.07|1001.12|I remember a showpiece that was, and everybody there on Sunday, the people would flock in to see that brand new tractor.
1001.14|1008.55|By today's standards, it was just about as useless as anything could be to do field work with.
1008.57|1017.36|It only traveled about two and three-quarters of a mile an hour in high gear, so you could figure out what you could accomplish in one day.
1017.38|1023.06|It would only pull about as much as five horses.
1023.7|1026.77|we put into a five-horse load.
1028.89|1033.16|I was 18 and 19 we dried out, totally dried out.
1033.18|1044.49|We didn't, we just had to scrape and scrounge around to get enough feed to keep our livestock cool for the winter and enough grain possibly for the seed for the next year.
1045.06|1050.92|But somehow it seemed we got by to no handouts from the government.
1051.12|1062.04|With my dad, there were about five sets of relief from the government at any time throughout the years that we were farming.
1062.36|1070.99|In 1920, the grasshoppers came in, and they just really come in clouds, you know, and it's well-poisoned, well-poisoned sections.
1071.61|1080.52|Mixed the poison with what they were doing at the Minnesota headquarters, and we'd pick it up in bags, and then you'd put it on gloves, and
1081.13|1105.79|it was arsenic in with molasses and sodas and you'd walk through the fields and scatter that around to poison the hoppers but in the end you got very little crop out of it was probably five bushels to the acres so and that took us through 2021 a good crop a good crop that did rust
1108.26|1114.03|a little separator to go with the little Titan tractor we had.
1115.29|1122.7|In the course of rigging it up, he and Joe and Zip got into some kind of an argument, so he appointed me to operate the machine.
1122.72|1125.54|I was 19 years old at that time.
1125.66|1132.63|So I was the chief operator of the separator and the engine, run both ends of it.
1134.89|1141.72|after many other things besides that, to keep the grain wagons there and whatnot.
1141.74|1146.11|And as it was then, that was 21, when Matt followed Joe and left, he went to the coast.
1146.43|1148.71|In the winter, Sid left and went to the coast.
1148.73|1153.74|So Mac and I were home alone on the farm then through 21, 22.
1153.92|1159.85|Well, Bud was starting to grow up big enough then to be of a little help.
1159.87|1161.37|He had born in 1911.
1162.55|1167.82|And so he could herd in cows for us at one time or another.
1167.84|1170.4|And in 23, we were having, what, crops?
1170.42|1171.92|22 or 23.
1174.22|1180.13|And it was justwork all the time.
1180.19|1183.06|That's all you ever did.
1183.08|1183.96|You played a little bit.
1184.62|1189.16|You went to a country dance once in a while, a schoolhouse dance or so, maybe once a month.
1189.52|1197.09|Other than that, you'd just work, stay at home right by the oil lamp, go to the neighbors maybe once a week and have a card game.
1198.31|1205.1|And time went fast, you worked hard, you retired the next time you were satisfied, you'd go to bed and call it a day.
1207.36|1212.39|And the winter of 20, the fall of 23, mother went to California.
1212.41|1214.19|She and the elder went to California.
1215.17|1218.37|And it was during that winter.
1218.41|1219.89|That was almost an open winter.
1219.91|1222.57|Dad and I were hauling grain with wagons.
1222.59|1224.06|We were not using sleighs.
1225.22|1227.28|Right through the winter, we used wagons.
1227.3|1232.94|And I used to go out and load up two loads of grain after the charge was done, and we'd go to town.
1233.42|1236.57|And back was six miles.
1236.59|1239.13|You walked your team the whole way down and the whole way back.
1239.21|1243.33|So it's a big half day to go downtown and back.
1244.21|1248.23|He kept complaining he wasn't feeling good all the while we were hauling grain.
1249.27|1251.58|Finally, one day he goes to the doctor at Griffin.
1251.6|1255.82|The doctor told him he's just an old, burned-out piece of machinery.
1255.84|1262.19|And so he didn't feel any better, so he got on the train one day and went down to Kenman Arctic over there.
1262.21|1264.17|There were some doctors there.
1264.19|1268.72|The Ewing brothers had quite a reputation as being good doctors.
1270.16|1274.05|So he went down there to see what was wrong with him.
1274.72|1278.78|And when I put him on the train that day, that was the last time I talked to them.
1280.16|1285.09|The next word we got within about a week's time that he'd been admitted as a hospital.
1285.11|1289.81|And the very next day we got a phone call, somebody better come down to Dan to seriously ill.
1292.14|1299.0|So that night I, uh, that afternoon I went to town, didn't have any money or anything to go with and, uh,
1299.56|1302.86|I went to the banker and told him what had happened.
1302.88|1307.87|He was a good friend of Dad's, so he said, "Here's the money, whatever you need, you can have."
1307.89|1321.45|And we went to our state, and that night he popped the train and got into Canterbury at about 2 o'clock in the morning after a big layover at that portal at the international border.
1322.41|1327.07|Got there about 2 o'clock in the morning, I fell in the hospital, and they said, Dad is resting well.
1328.08|1340.69|And the next morning, when I walked down to see him, which was about 9 o'clock in the morning when I got to the hospital, they said, "Your daddy was dying."
1340.71|1344.82|So that was another paragraph finished.
1344.84|1350.61|From there on, I got back to the hotel, and I phoned my aunt back at Halbrite to find out
1350.92|1352.05|Where do I start?
1352.07|1352.67|What do I do?
1352.69|1358.72|And she directed me and got busy on the phone and notified everybody.
1358.74|1368.67|I'll cut it off now and we'll come to that story when we start up again about what happened to Dad, etc.
1371.08|1377.43|And what I did to Here I Am 21 years ago.
1377.45|1378.79|21 before the fall.
1379.65|1381.69|with a thing like this in my hand.
1381.73|1392.6|My mother was in, by the time she'd gone up to my sister, Anne was in Oregon, and she was visiting there.
1392.62|1404.15|The owner had stayed in California, so we got ahold of her, and it's a long story from there on, and so we're cutting her off for now, and I'll finish that when I start it again.
1404.17|1408.54|Well, here we are, about three weeks later,
1409.36|1413.33|And I'll try to carry on from here.
1414.99|1424.85|First off, I'll turn the clock back and sort of reminisce on some of the highlights.
1424.87|1436.48|Some of the things that I remember that were outstanding during that first, what was that, 22 years that I've come to know.
1440.19|1444.5|coming to Halbrite when I was four and a half years old.
1447.34|1450.35|Not much happened then through the years.
1450.37|1452.91|I don't think I started school until I was about seven.
1456.55|1465.44|When I was about eight years old, I went to the States with my mother and dad, went down by train in the winter to fall, I guess it was, yes, in the fall of the year.
1466.52|1468.12|And I remember
1469.27|1498.55|of seeing a team of horses run away and run in front of our train and a man and lady sitting up high on the wagon and I was looking out of the window and I saw the train hit them and there's pieces through every direction and the woman got run over and I can distinctly remember looking down out of the window and seeing one of her legs lay along the track the horses didn't get hurt they went
1499.24|1522.46|run away wild over the field then we visited true iowa and I remember a few things about that visit and then mother stayed down in iowa and dad came home with me and we stopped in minneapolis and I still remember him taking me to the bar room that night while he went in to have a drink and of all the food they had in their free food
1524.47|1531.42|sausage and bread and butter or anything like that.
1531.44|1537.73|I don't remember any more about the trip excepting those three little incidents.
1539.73|1545.04|Back when I was 11 years old, I went to the convent that winter.
1545.06|1554.27|I went there about the first of November and stayed there until Easter time when I came home and finished my schooling.
1554.96|1561.49|I was taking my grade five, I think.
1562.23|1567.75|I can remember I couldn't write very good, anyway.
1568.88|1572.76|And then I remember the World War coming on.
1572.92|1574.32|You didn't hear much about it.
1574.34|1580.83|No radio, no communication, except when Dad would come home from town with the news about what was going on.
1580.85|1584.51|He would bring a paper home.
1587.23|1594.58|I heard my first radio, I think it was 1921.
1594.72|1603.43|Maybe later than that, it could have been 1922 or 1923, I heard my first radio.
1603.45|1617.15|In the winter of 1922, I came to Regina and took a telephone course in order to be able to maintain the telephone, the local rural telephone.
1623.52|1626.49|time, I recollect.
1626.51|1628.21|I didn't care about dancing.
1628.23|1631.65|I used to go to the dances, but dancing didn't mean anything to me.
1631.67|1634.52|There was no drinking amongst the young people, whatever.
1634.54|1639.77|House parties were quite common, and you had a lot of fun at house parties.
1639.83|1644.43|I played games that anyone from six to sixty could play.
1644.55|1649.26|And hunting and working, that was the main interest you had.
1649.28|1651.2|In the summertime, I played baseball.
1651.22|1652.72|I always loved the game of baseball.
1653.85|1666.49|I thought nothing of writing six miles a night after supper to practice baseball, let alone play.
1666.51|1668.33|Another great interest was wrestling.
1668.59|1671.13|I was fairly good at wrestling.
1671.15|1676.46|I wasn't in any way a professional, but I learned a lot about it.
1676.48|1681.53|A great thing that carried you a long way is what the best means of self-defense are words.
1688.54|1698.97|And I demonstrate many times in years to come that there's more than just an average wrestler.
1698.99|1706.58|Many, many unusual stories turned up after that.
1706.6|1713.55|Right now, I'll go back now to about 1924, yes.
1713.75|1715.53|Dad was dead and buried.
1716.41|1717.34|Big funeral.
1717.87|1719.81|rainy day, drove to town.
1720.28|1728.1|His body was brought out to the farm and laid in state there, you might say, for a couple of days until the funeral day.
1729.01|1737.91|And it was raining, cars weren't running, everybody drove in with teams, six and a half miles to town.
1737.93|1744.8|So it was anything but a nice funeral day.
1744.86|1746.98|And it started snowing.
1747.54|1776.13|just when the mass is just about over it starts and it's not quite heavy and I remember as you remember one of the things that the station agent t.p mcgee said to me the next day he said, "Well Linden, he said happy is the day no happy is the day happy is the soul"
1786.62|1814.59|right now I'll add a few words while I'm trying to get the tapes lined up again this is something to try to make a continuous story out of these bits and pieces so now I'll start the tape rolling again
1818.06|1833.82|I'm still having trouble.
1835.62|1838.88|I'm still having trouble, but I'll get her in time sooner or later.
1845.17|1847.21|You'll hear some repeating in the background.
1848.02|1858.23|So I took the reins of destroying the farm at that particular moment right then.
1858.25|1860.01|Everybody went their way and Max and I and Bud and Mother were left alone in the farm.
1860.03|1860.83|I knew a lot about things.
1861.05|1864.05|I knew all about farming.
1864.07|1865.55|Carried on just the same as when Dad was there.
1865.57|1872.34|I had to look after all the finances and take care of the bank accounts and everything.
1872.36|1874.56|Decide where we planted and what we planted.
1875.18|1877.67|But not that Mac and I got along very good.
1877.69|1879.49|We run a good show here.
1880.13|1891.59|At the end of the three years, the banker said that we had run one of the best financial firms in the district.
1891.61|1893.27|Not big, but it was good.
1893.29|1896.03|We made good money each year.
1896.05|1903.62|And for my efforts, I got $600 the first year, $800 the second year,
1904.53|1928.63|a thousand dollars the third year and it was at that time when some of the boys came home from california and they things hadn't been going too well down there I expect and uh they started uh you know sort of raising evictions that I was getting too much money I had the use of the car as well naturally being the manager of the farm I just
1928.81|1931.54|ride the tractor and let the other guys sit around.
1931.94|1935.9|Well, one day the machinery and let the other boys sit around.
1935.92|1938.12|I was the manager and took charge.
1938.14|1943.05|If there was anybody that wasn't all over the machinery, it was me.
1943.07|1954.15|So I got my Irish up and I said, "Okay, if that's the way you feel about it, somebody else can run the farm."
1954.17|1958.4|I can make a living without staying here and getting
1958.99|1960.05|too much money.
1960.09|1965.09|My wages already had been set for $1,200 for the next year.
1965.11|1978.93|So with that, I threw in the towel, and I packed up my suitcase, and a cousin from Worthington, Iowa, by the name of Margaret Hemmer, was up harvesting with us.
1978.95|1986.93|And I jumped in the car, in the car with him, and we drove straight through to Worthington, Iowa, which is about 1,300 miles.
1991.2|1993.54|Oh, there was snow all over the country.
1993.56|1998.67|There was snow pretty near all the way down there.
1998.71|1999.25|It was cold.
1999.27|2003.92|We just had a four-grocer, Model T four-grocer.
2003.94|2009.43|And when I got there, I think we had 36 hours on the road.
2009.45|2012.08|When I got there, I had chilled way into the
2021.3|2025.25|Anyway, I stayed with an uncle in Worthington, Iowa.
2025.27|2034.36|I had been down there on previous visits, so I wasn't a stranger in the area.
2034.5|2035.34|I knew all my relatives.
2035.5|2038.45|I stayed at Uncle Nick's place, and I got there.
2038.47|2040.11|And, you know, I was sort of disturbed and upset.
2040.13|2044.33|I was out of my environment, which I was so happy.
2044.35|2045.47|So I got there.
2045.5|2047.3|I couldn't go to sleep.
2047.32|2049.86|I had to go to bed, and I'd lay awake at 4 or 5 o'clock in the morning.
2064.22|2071.35|Well, I stayed in Worthington during December, doing nothing, just hanging around.
2071.37|2078.35|I forget how much money I had, but I had wages coming from the polls.
2078.6|2090.21|I had enough money that I was able to buy a model T group car, to pay, as they called it.
2090.23|2090.85|And with that,
2091.57|2093.83|I was walking around the town.
2093.85|2096.98|Worthington was about 300 people.
2097.0|2101.26|And I wasn't doing it well, for there were a lot of people around there not working.
2101.28|2105.75|Cousin Jake Achen was down there at the time, too.
2105.77|2109.61|And in the course of being with Jake, I got to the blacksmith shop one day.
2109.63|2112.19|And his cousin was in the blacksmith shop.
2112.21|2113.07|And it started raining.
2113.21|2114.57|It got sleety as it quit.
2114.59|2116.9|It was just a sheet of ice all over.
2116.92|2119.86|And everybody was bringing in horses to shoe.
2120.82|2125.84|He asked if anybody wanted help, and I said, sure, I can trim the horse's hoof as well as anybody.
2125.95|2132.16|So I started trimming the horse's hoof, and he would fit on the shoes, and pretty soon he had me nailing on the shoes.
2132.18|2134.14|For that, he was paying me four dollars a day.
2134.36|2137.99|I probably worked there about a week or ten days.
2138.07|2141.57|Oh, I'd say a week at the inside, and that was over.
2142.29|2146.1|And then I was around town, and I think it was on the fourth or fifth day,
2148.74|2152.23|Worthington or working out of Worthington.
2152.25|2154.41|And one of the girls at the cafe tipped me off.
2154.95|2159.54|She said, "Hey, if you want a job, one of the guys on the power gang is going to get fired."
2159.56|2163.51|I heard the boss say to another man, he's going to fire him tonight.
2163.53|2165.53|So I went to the boss and I said, "Can I get a job?"
2165.55|2166.59|And he said, "Sure."
2166.61|2169.2|He said, "Come around tomorrow morning and go to work."
2170.2|2174.22|Wages would be 35 cents an hour.
2174.24|2175.44|Well, that was
2176.17|2178.79|Ten hours a day, $3.50 a day.
2178.97|2180.33|Hooray, away we go.
2181.15|2185.9|And I went to work the next morning, and that was my start.
2186.76|2189.78|This was on January the 4th, 1927.
2190.0|2200.57|I'll always remember that date.
2200.59|2203.91|My first date was digging holes.
2210.12|2212.32|two and a half feet.
2212.4|2216.95|And being the new man on the gang, I think there were five men on the gang.
2216.97|2219.87|I being the new man, I got the last two of them around.
2220.01|2226.16|I got a little of a bar for digging through frost that was just so dull.
2226.18|2231.34|And I went out and I saw that at the end of the first day that my house was breached.
2231.36|2234.04|You know, I was ambitious and I worked hard, but I wasn't making any money.
2234.06|2238.07|The second day, one of the older fellows on the crew
2256.54|2259.25|and never looked back from there on in.
2259.27|2260.97|I was the top production man.
2261.93|2264.33|Being younger than the other man is powerful.
2264.43|2277.75|I was able to just produce more than this, but well, we, I don't remember, I was on that job maybe a month.
2277.77|2282.65|We were moving around the country, not necessarily always in Worthington.
2282.67|2284.9|And the boss come along one day and
2285.28|2291.73|He said, "We're moving out of here, we're moving across the state to Sioux City, to south of Sioux City Isle."
2292.57|2296.1|Do I go along with it?
2296.12|2297.16|Well, I'll have to relate.
2297.18|2308.13|In the meantime, the boss had come to me one day, and he said, "Say, he said, I put in for 40 cents an hour for you, but the head office turned it down."
2309.4|2312.3|I see that you're doing more work than any of these other fellows, but you...
2315.57|2325.9|So he said, "I'm going to plug your time enough so that it will amount to 40 cents an hour."
2325.92|2326.74|Well, I felt pretty happy about that.
2326.76|2329.07|Well, to get back, he said, we're moving across the state.
2329.91|2332.53|He said, "Do you want to go with us?"
2332.55|2339.76|I said, "Yes, but I don't think I should have to keep on building homes."
2344.41|2347.61|learn to do something else.
2347.63|2352.46|Well, he said, "You won't have to be close very much when you get over there."
2352.48|2355.32|But I'll teach you other things.
2355.34|2364.13|So we moved across to a town by the name of Winnebago, Nebraska, just south of Sioux City, Iowa.
2365.81|2370.14|And we were there for into the spring break up.
2370.26|2373.0|And one Sunday afternoon, I took an ocean to drive up
2376.19|2382.41|which was about 125 miles from where I was working.
2384.67|2390.82|And I drove up there, and here I find Lori in one heck of a mess.
2390.84|2396.69|His wife had died two years before that.
2396.71|2399.69|He had eight children, or seven.
2399.71|2401.37|One had died.
2401.57|2402.39|He had seven children.
2402.41|2404.57|The oldest one about 17, a girl of 17.
2405.21|2409.52|couple of boys at about 10 and 11 years old.
2410.9|2415.71|And he had sciatica so bad he could hardly walk.
2415.73|2421.92|So when I saw the shape he was in, I said, "Well, I'll quit my job and I'll come up here and I'll put your crop in the land."
2421.94|2423.96|He was actually sick, very sick.
2423.98|2427.71|He didn't know how he was going to carry on.
2427.73|2428.23|He didn't have any money.
2428.25|2430.55|And things were really great in that time.
2430.83|2432.27|So I said, "I'll come back up here."
2432.35|2433.94|I'll go down there and work till the end.
2436.43|2444.14|So I, when I was leaving, he said, "Have you got enough money now to get down, down home?"
2444.26|2445.86|Oh, I said, yeah, I'm all right.
2445.92|2446.86|I got $3.
2447.08|2448.95|I got my tank full of gas.
2449.03|2450.59|That'll get me there.
2450.61|2454.29|Well, he said, "What are you going to do if you have a flat tire?"
2454.35|2456.66|Well, he said, I don't expect to have a flat tire.
2457.3|2458.84|So he handed me a $10 bill.
2458.98|2460.32|He said, "Here, take this."
2462.0|2464.49|He said, "Just in case you have trouble."
2464.51|2466.05|So I went down and I, uh,
2466.87|2472.8|I told the boss the next day what I had run into, and I said, "I'm going to quit at the end of the week."
2472.82|2476.81|And I said, "Anyway, I don't like this life too much."
2476.83|2480.05|I said, "You're leading a kind of a transient life."
2480.21|2486.9|And I said, I was brought up in a good home where you had, you know, everything you needed to live with in here.
2486.92|2494.55|I said, "You just, you know, we get by with what we have to have, I thought about it."
2495.76|2525.7|well he said, "I'll tell you something, you'll leave now but you'll be back. He said, you're the kind of an individual that I can see really likes this kind of life." No, I said, "I'll never come back." So good laugh at the end of the week. I said goodbye and I went up to Lori's. I spent April, May, June and tell about the middle of July.
2530.09|2559.01|Just now the tape cut off and I can't just tell where it's going to start in because when I go in on the
2559.3|2560.04|on the tape.
2561.48|2564.04|When I find out, I start talking about something else.
2564.06|2565.45|So I'll finish this story off.
2567.15|2576.62|Lorry didn't know what to do, so I got some of the neighbors in and we cut his 40 or 50 acres of oats, which was flat on the ground.
2576.66|2578.38|We put it up into stacks.
2579.55|2580.73|And that took us a few days.
2580.75|2588.54|And when that was finished, I went into south, into Nebraska, where I had a cousin that was farming.
2588.56|2589.12|And I
2590.19|2619.58|helped them with the harvest and that's where I found out what real heat is it's never been hot for me any place since there it never cooled off the night it just stayed about 90 92 degrees day and night and I helped them with their harvest and then i've headed north and I think somewhere along here we'll cut back in and I'll pick up when I head back up into dakota
2620.4|2625.93|So right now I'll turn the other tape on and see what comes out of it.
2627.87|2630.39|We'll try to patch it up.
2630.45|2631.08|Visit Janie.
2631.1|2634.1|Janie had a new baby, her first.
2634.48|2642.19|And so from there, after spending ten days there, she's going on to London, England to visit Norm.
2644.35|2649.8|So I've been here on my own getting along okay, sort of preparing for winter.
2650.57|2659.11|doing up the swimming pool and taking the flowers out as they die and whatnot.
2659.19|2663.85|Cut down a couple of big trees in front and just generally preparing for winter.
2671.2|2679.1|That bit of music you heard in there was I'm taping over a record that I had taped
2679.68|2705.4|taken off the radio the other day they were playing the song Yes We Have No Bananas and I sing that to Janie or to little Leslie every once in a while so I just want to let her know that it was really a song that I hadn't just made it up however to get back to when I left Lorry's I think that's where I stopped on the other side of the tape
2709.74|2713.34|While I was in Iowa, I met my cousin.
2713.36|2718.65|She was a hammer girl, married to a deaner, lived in Nebraska.
2718.67|2723.48|And they had asked that I come out there and help them harvest.
2723.52|2726.62|So when we were hailed out at Lorry's, I helped him a few days.
2726.88|2735.26|We cut up, cut down a field of green oats that had been badly piled up, and we put it up for hay.
2736.37|2742.43|And after that was finished, I got in my car and I went down to Diener's at Davidson, Nebraska to help them harvest.
2744.38|2746.66|Well, while down there, I found out what heat was.
2747.26|2752.84|To me, it's never been hot since that, I guess it was in August of 1927.
2752.94|2757.85|It would be so hot there.
2757.87|2760.73|And the harvest went on, as usual.
2760.75|2764.08|We didn't stop because it was too hot.
2764.1|2766.34|But there was no breeze night or day.
2766.66|2768.52|the window would just dance there.
2768.56|2773.65|Maybe by two o'clock in the morning the window would start to turn a little bit.
2773.67|2782.5|You'd go to bed at night and you'd just lie on the cover, on the bed without any covers, no clothes on, and perspire.
2782.94|2787.46|And if you got three hours sleep in a night, you were darn lucky.
2787.48|2791.33|And this, well, I suppose it lasted for about a week.
2791.41|2792.51|It was real bad.
2792.53|2795.11|But it was a brand new experience for me after having
2795.8|2804.86|down through so many harvests up here in Canada, where it's reasonably cool all the time.
2804.88|2819.56|After I finished there, I got in the car and I went up through by Larry's place again, stopped there a couple of days, and then on up to Aberdeen, South Dakota, where I had an alcohol
2820.96|2824.61|I had a cousin at Urban, the oldest boy, which is my age.
